Filename,Speaker,Group,Gender,Syl_Dur_Ratio,Vow_Dur_Ratio,Delta_Int_Mean,Delta_St_Mean
L2_01_12,L2_01,Learner,Male,1.3254827074050488,0.8705714656841673,3.803309822963193,2.8630728919455066
L2_01_13,L2_01,Learner,Male,1.6114114322234006,0.4330484231910564,-1.2177223313248149,3.495781621626083
L2_01_18,L2_01,Learner,Male,0.8635786321201713,0.3317245326379684,-0.06542372007699271,0.8081100632718727
L2_01_19,L2_01,Learner,Male,0.8698469854853457,0.3937685049353241,-6.096739648852328,1.7502704183052895
L2_01_05,L2_01,Learner,Male,0.8920931515898022,0.38412334782699725,-3.455375200300317,2.55107284095525
L2_01_04,L2_01,Learner,Male,1.2354212462082277,0.34287666812035805,-5.133947068511944,-1.4117086311439508
L2_01_02,L2_01,Learner,Male,1.1642072629571178,0.6070238944880737,-2.277583979547927,-1.1162643554749474
L2_01_03,L2_01,Learner,Male,1.3161765046382903,0.4993565016856238,-0.8959095314231149,-0.39849175949789695
L2_01_08,L2_01,Learner,Male,1.967941887606969,1.8403445898306698,-1.2329369599579536,1.598203052514613
L2_01_09,L2_01,Learner,Male,0.6789764801301373,0.36057108581710284,-0.04429932818706561,0.21920443306384474
L2_01_15,L2_01,Learner,Male,0.6487649306495781,0.4802832938268793,-3.3003225822666806,1.3349142315674065
L2_01_14,L2_01,Learner,Male,4.189729275335445,4.279247442761657,3.8841352180807007,1.3021891091926712
L2_01_20,L2_01,Learner,Male,0.7735727804761628,0.5244064797989285,0.2524255304441638,1.9363540509247825
L1_04_01,L1_04,Native,Female,2.670432271854332,5.80285514703041,-2.4593253221202573,-0.3793517563257751
L1_04_17,L1_04,Native,Female,0.9666899368468655,0.28867726449591946,-7.737056274797624,-1.1384126759986835
L1_04_16,L1_04,Native,Female,1.2770589858167167,1.3454031507114343,-1.7487879974210898,-0.16545690145324699
L1_04_10,L1_04,Native,Female,2.6068163181289843,0.565193481358765,-4.249110201168499,-0.06785311103927683
L1_04_11,L1_04,Native,Female,1.3887363236127457,0.5983952604076631,2.291491096993717,-2.5823030324506373
L1_04_07,L1_04,Native,Female,2.472162440926938,0.6756145067145705,1.5645388636039002,0.2540786573578764
L1_04_06,L1_04,Native,Female,0.4398020287740425,0.5058838134990953,-0.7606527635542619,-1.5041445581722215
L1_04_20,L1_04,Native,Female,0.6075900649229455,0.6219728812448738,-2.1049943431266414,0.07016821466786638
L1_04_14,L1_04,Native,Female,3.734020872017749,1.7955221751683617,-0.5440229721304917,1.0203561776933334
L1_04_15,L1_04,Native,Female,1.1883122194295328,0.8222159524846722,-5.494473169341987,-0.09799548885027676
L1_04_09,L1_04,Native,Female,0.5803977002022421,0.3357173841914521,-5.510320737411945,-2.340080082287674
L1_04_08,L1_04,Native,Female,1.853841588149337,1.5593855579052507,-0.0861005919239588,-0.5970757867150418
